id;title;description;due_date;status
1;d'avec tellement;carrément;2025-01-15;PENDING
2;complètement traîner;certes jeune enfant mal;2025-01-15;COMPLETED
3;mélancolique ronron;à l'entour de gestionnaire badaboum;2025-01-16;COMPLETED
4;dans la mesure où;bof vroum caresser;2025-01-16;IN_PROGRESS
5;énorme;tant bof collègue;2025-01-16;PENDING
6;actionnaire;rectangulaire fort;2025-01-15;COMPLETED
7;du moment que;approximativement;2025-01-15;COMPLETED
8;divinement avant de;d'entre contourner;2025-01-15;COMPLETED
9;ah boum adhérer;accentuer;2025-01-15;COMPLETED
10;équipe de recherche quand tant;atchoum bien que timide;2025-01-16;IN_PROGRESS
